2023-02-04 08:26:22,859: Fetching Zamorak Stats for Group Size = 5
2023-02-04 08:37:11,755: Total Teams: 642
2023-02-04 08:37:11,755: Total Unique Players: 1086
+--------------+-------+----------------+
|     Name     | Count | Highest Enrage |
+--------------+-------+----------------+
| Iris By GGD  |   59  |      510       |
| Overprepare  |   58  |      710       |
|  Gold plzz   |   45  |      710       |
| Phenom_Iron  |   35  |      710       |
|     Raw      |   31  |     13600      |
|  Teogether   |   30  |      750       |
|  Nex Appeal  |   28  |      1000      |
|   Coldasn    |   28  |      1000      |
| ThicccMuffin |   28  |      510       |
|    Feuer     |   23  |      1000      |
|   XinruiYu   |   23  |      750       |
|  Im OliRea   |   23  |      710       |
|  Bugs Bunny  |   20  |     13600      |
|  Todeswucht  |   20  |      1000      |
|   Antonin    |   19  |      1000      |
|   Cue Nick   |   19  |      750       |
|   WhoDat29   |   17  |     13200      |
|     R JS     |   17  |      1000      |
|    Silli     |   16  |     13600      |
|    Ayumu     |   15  |      2010      |
|   Trololol   |   15  |      1000      |
|  Capt Worm   |   14  |     13600      |
|     Anez     |   14  |      1000      |
|   Fe Rich    |   14  |      750       |
| E O BRAZINO  |   14  |      400       |
|  Sejearian   |   13  |     13200      |
|     RJJC     |   13  |      1000      |
|   Lu Kayin   |   13  |      800       |
| PizzaCollege |   13  |      570       |
| AgtCodyBankz |   13  |      502       |
| Rocket Cars  |   12  |      2010      |
|    Caphra    |   12  |      2010      |
|     Muiz     |   12  |      1310      |
| Chaotic Rico |   12  |      1000      |
|  Sheepswag   |   12  |      800       |
|   Dunhill    |   12  |      500       |
| DarthBane IM |   12  |      500       |
|   IM Angus   |   12  |      500       |
|  hello bye   |   11  |      2030      |
|  Novability  |   11  |      1000      |
|     Wzrd     |   11  |      800       |
|   shreyas    |   11  |      630       |
| Frozen Spuds |   11  |      630       |
|  See Me 53   |   11  |      570       |
|    Xomano    |   11  |      400       |
|   Zaiimen    |   10  |     13600      |
|     I NK     |   10  |      1000      |
|    Huddon    |   10  |      500       |
|   Andreew    |   10  |      500       |
| Zoheb No DPM |   10  |      400       |
|   So Rainy   |   9   |     13200      |
|     Arfy     |   9   |      2010      |
|    downs     |   9   |      2000      |
|     Iyaz     |   9   |      2000      |
| LeonTehSheep |   9   |      2000      |
|   Flamewan   |   9   |      1000      |
|  Fidele2650  |   9   |      800       |
|    Onesie    |   9   |      666       |
|    Chives    |   9   |      630       |
|  smurfy420   |   9   |      570       |
|    Mu-Ziq    |   9   |      500       |
|   Vini bow   |   9   |      400       |
| Guilhermeraf |   9   |      400       |
|   Lengii21   |   9   |      300       |
|   stickahs   |   8   |      2000      |
|     dedi     |   8   |      2000      |
|   caterpii   |   8   |      2000      |
|     Glue     |   8   |      1010      |
|    Virius    |   8   |      1010      |
|   Seispip    |   8   |      830       |
|   Lexa Pro   |   8   |      630       |
|    Razzi     |   8   |      600       |
| rsn nurdawg  |   8   |      580       |
|  Pallomides  |   8   |      510       |
|    Rcm37     |   8   |      500       |
|   Yelpsie    |   8   |      500       |
|  Blyadrick   |   8   |      200       |
| Josiel oLvR  |   8   |      200       |
|  The RS Guy  |   7   |     12070      |
|  downsyboo   |   7   |      2000      |
|   Keewee07   |   7   |      2000      |
|   Gul Saft   |   7   |      1020      |
|     Fade     |   7   |      1020      |
|  A Poptart   |   7   |      1000      |
|   Maliiii    |   7   |      1000      |
|    Hero1     |   7   |      940       |
|     FCB      |   7   |      830       |
| CharlieBrown |   7   |      750       |
| Holy Lemon 3 |   7   |      750       |
| duper cheese |   7   |      500       |
|  boweotoast  |   7   |      500       |
| Blitzekrieg  |   7   |      500       |
| khall dr0g0  |   7   |      500       |
| PvM Tolkien  |   7   |      400       |
|  Zensithar   |   7   |      300       |
|   sh eesh    |   7   |      250       |
|    iRegs     |   7   |      210       |
|    Mofibo    |   7   |      200       |
|     Qlhp     |   6   |      7510      |
|    g0att     |   6   |      4000      |
|    Washly    |   6   |      2030      |
|  LongShorts  |   6   |      2000      |
| Kaiyser Soze |   6   |      2000      |
|  Gentledan   |   6   |      1010      |
|     Omid     |   6   |      900       |
| Last of Gus  |   6   |      860       |
|     1peb     |   6   |      860       |
| A k s h a y  |   6   |      830       |
| Runechuckie  |   6   |      750       |
| Coach Pesto  |   6   |      750       |
| SpRiGgAnGoRe |   6   |      750       |
|    Alana     |   6   |      740       |
|   Sig urd    |   6   |      666       |
| Toxic Luffy  |   6   |      650       |
|  BlackFrogz  |   6   |      600       |
|    brods     |   6   |      600       |
|  Desertank   |   6   |      510       |
|    Arwyn     |   6   |      501       |
|    Lowsak    |   6   |      500       |
|  Shadesmar   |   6   |      500       |
|    K0bEn     |   6   |      500       |
| Golden Alien |   6   |      400       |
|   King Sia   |   6   |      350       |
|    Zavje     |   6   |      340       |
|   Mr Gumbo   |   6   |      340       |
|     Dmv0     |   6   |      200       |
