2023-02-04 13:00:04,764: Total Unique Players: 8447
+--------------+-------+----------------+
|     Name     | Count | Highest Enrage |
+--------------+-------+----------------+
|    AB ED     |  168  |      7520      |
| E O BRAZINO  |  153  |      2000      |
|     nneo     |  152  |      2000      |
|    jiahn     |  148  |      6969      |
|     Raw      |  146  |     13670      |
|    Nekiya    |  136  |      760       |
|  No bowske   |  133  |      2000      |
| Ms John Wick |  126  |      1000      |
| Half_Life16  |  123  |      4010      |
|  Bugs Bunny  |  122  |     13620      |
|   So Rainy   |  121  |     13670      |
|  boweotoast  |  118  |      4000      |
|     R JS     |  118  |      2000      |
|    Niebla    |  109  |      2000      |
|  Teogether   |  106  |      1000      |
| prime soul94 |  105  |      7520      |
|    Silli     |  105  |     13650      |
|  Tree Time   |  104  |      4051      |
|   Gravity    |  103  |      7520      |
|   Coldasn    |  103  |      4000      |
|   LanceJr    |  102  |      2069      |
|    Xomano    |  102  |      2000      |
|  Sejearian   |  100  |     13670      |
| Hero0fLight  |   99  |      7520      |
|  EoFinality  |   98  |      750       |
|   Sommeil    |   98  |      4000      |
| Iris By GGD  |   95  |      750       |
|   im chris   |   93  |      1000      |
| Aaron Hunns  |   93  |      7560      |
|    loftt     |   93  |      4020      |
|   Vini bow   |   93  |      560       |
|    Razzi     |   91  |      4100      |
|     1054     |   89  |      4069      |
|  ARAND0MGUY  |   87  |      1110      |
|  Iced Gamer  |   87  |      4000      |
| Guilhermeraf |   86  |      507       |
|   XinruiYu   |   86  |      899       |
| Overprepare  |   86  |      710       |
| ALostStoner  |   85  |      570       |
| Black ethot  |   85  |      2020      |
|    jordy     |   80  |      4000      |
|     Muiz     |   79  |      4080      |
|   Antonin    |   77  |      2000      |
| Russian Dan  |   77  |      4040      |
| Zoheb No DPM |   76  |      1030      |
|    Lowsak    |   75  |      1140      |
| Rocket Cars  |   75  |      4000      |
| PizzaCollege |   75  |      730       |
|   Lexa Pro   |   75  |      4000      |
|    Dr Mad    |   74  |      4210      |
|   Joeyhax    |   73  |      4010      |
|    Amazes    |   72  |      4160      |
|    Feuer     |   72  |      2000      |
| AgtCodyBankz |   69  |      750       |
|    ahihcU    |   68  |      2000      |
| Farmsnake32  |   68  |      4000      |
|    Alana     |   68  |      4000      |
| Mia Colucci  |   68  |      4012      |
| Chaotic Rico |   68  |      4080      |
|  Nex Appeal  |   68  |      2000      |
|  Shadesmar   |   67  |      1000      |
|  Grand Dsos  |   67  |      7510      |
|   Wiz Tot    |   67  |      5000      |
|     Qlhp     |   67  |      7520      |
|   Goo Ink    |   67  |      500       |
|   Cue Nick   |   67  |      1000      |
|  Todeswucht  |   67  |      2010      |
| No idea why  |   66  |      520       |
|    downs     |   65  |      4069      |
|   stickahs   |   65  |      4069      |
